Unnamed: 0,Titre,Entrées,best_match,movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_poster,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date,year
154,5 Notre Tout Petit Petit Mariage Ugc Distribution Bande-Annonce,178 545,,,,,,,,,,,,,,,,,,,,,,
155,9 Misanthrope Metropolitan Filmexport Bande-Annonce,100 146,,,,,,,,,,,,,,,,,,,,,,
156,3 La Vie Pour De Vrai Pathé Le Teaser,423 667,,,,,,,,,,,,,,,,,,,,,,
157,5 Evil Dead Rise Metropolitan Filmexport Bande-Annonce,235 926,,,,,,,,,,,,,,,,,,,,,,
158,3 Donjons & Dragons : L'Honneur Des Voleurs Paramount Pictures France Bande-Annonce,420 168,,,,,,,,,,,,,,,,,,,,,,
159,4 10 Jours Encore Sans Maman Studiocanal Bande-Annonce,256 753,,,,,,,,,,,,,,,,,,,,,,
160,6 Suzume Eurozoom Bande-Annonce,181 032,,,,,,,,,,,,,,,,,,,,,,
161,10 Les Complices Snd Bande-Annonce,72 930,,,,,,,,,,,,,,,,,,,,,,
162,"1 Super Mario Bros, Le Film Universal Pictures International France Bande-Annonce",1 866 914,,,,,,,,,,,,,,,,,,,,,,
163,2 Les Trois Mousquetaires: D'Artagnan Pathé Bande-Annonce,1 007 159,,,,,,,,,,,,,,,,,,,,,,
164,1 Je Verrai Toujours Vos Visages Studiocanal Bande-Annonce,282 292,,,,,,,,,,,,,,,,,,,,,,
165,2 Shazam! La Rage Des Dieux Warner Bros. France Bande-Annonce,262 525,,,,,,,,,,,,,,,,,,,,,,
166,5 Le Royaume De Naya Kmbo Bande-Annonce,163 496,,,,,,,,,,,,,,,,,,,,,,
167,1 Sur Les Chemins Noirs Apollo Films / Tf1 Studio Bande-Annonce,438 142,,,,,,,,,,,,,,,,,,,,,,
